#00xx: Singles

#0000: Full House

#0001: Last Digit

#0002: Hidden Single

#0003: Naked Single

#01xx: Intersections
#0100: Locked Candidate Type 1
........9.6....3..2.4....7...937.5.1.....2..3...15.7....1.24.....8.3.6...4.5..... # lc1(3) s
....2.3.5.9...7..44.....8.9.7214......5.63.4.....8......1576...6.....5.3......... # lc1(3) s
.8941..5........7..7.53.1..91......5....8.......3..6..8.....23..6...1......65..4. # s n3(3) s
5....3..7...9..1...4...........78..6..3..15.9.51.4.....78.2...39..1..82.......... # s n3(2) s
6.42.3.....5.98.24.....71...561.....49.........2.........4.2..1.6....2....38...65 # s n3(2) s
...695.7.94.3....6.....4..1.......8...57.14.3.2...679..6.5...............7...2.59 # s n3(2) s
...69.8.4................592............53.8.4.6..7..37.3.......1...876.9...2.... # s n3(1) s
9..1...3.....3...687...91.5194............8.......45.2.6.8......3..9.6.875....... # s n3(1) s
.....4......17.6..48.3561....4..75......1.7..5...2..3495......612......8......... # s n3(1) s

#0202: Naked Quadruple
.3..8....9.8.41.....19..2.7.254..6....3.17.5.7......................51.6...3...98 # s n4(10) s
...........5.2....9.7...1.....94.5.........6....5.78.16....5..2..43...163.9.1..8. # s n4(10) s
4.921.6...61............7............5...3..421...7..9.....48....2.6..7.....592.3 # s n4(5) s
61.3..9..9....235.....................37.12.....24.6..3.89..1............7..85.6. # s n4(5) s
.......6.....3..47.325.....6....7..52.7.1.9.8.81..4........2...........1..587.... # s n4(3) s
...7........6..7.4....93..8.4....356635...8.7.1......9.........2..549...5.1.7..8. # s n4(2) s
..81..5....6.9....91.......84....79...5......7.....2.43.79...4.....74..8..42...6. # ssts n4(13) s
2.539.............9.3..7....4....75...87.26..7....4.3.596.............6.1.75.9.2. # ssts n4(12) s
..1............56.7.2.34.1...........854....616....98..39.........35.42......1... # ssts n4(11) s
47...2.93.........6......42....9....14..27.......437619.5......8.....6...3...6.59 # ssts n4(11) s
....8...............56.31..7.19....43...18...65..7.2.....12...797.5.......3....6. # ssts n4(2) s
.42.....38.5..7...........4.7.8.125..5.7..81....2......1...9..89.436............. # ssts n4(2) s

#0210: Hidden Pair
.............4273...67...4..94..........96.....7....231......85.6..8.27...5.1.... # s h2(10) s
...8...31.61...7.42....4.9.5...826.........13..61................56.......943..67 # s h2(9) s
72......316.5.9...8..2..96.28.9.4.1..7.6..2...................6.......2.6..18.7.5 # s h2(9) s
..54...........82.....58.6.35........429.3..1..7.2.......7.4..84...65.7....3..9.6 # s h2(8) s
..6.5.7...52.39...3..2...5.....921..72...4.6..18............2......639.....5..... # s h2(8) s
58..1.92.....8.7.5.....2.63.....857....16......84.9.....1.3...............9...682 # s h2(7) s
..72......3....4659.1.6....8....76..3.6..5749.......8....9..........25.3....4..9. # s h2(6) s
1..5.468.9..........6....146.9.71..2..59.8....8725...1.............8..7.......9.3 # s h2(5) s
..6..38..1......4....56719.2.........6974....58...2....43.9...7........99.....2.. # s h2(4) s
.....54..3846............8...69.2..39.5.........1..2.7.43...1..5....7..26........ # s h2(4) s
...8........4...68.3.7.2.9......9.....5...183.16...5...8.375...9.........7.....2. # s h2(3) s
......641278.6...........2.........57..15....9..3..8.486....1.....2.....531..9... # s h2(3) s
.35.81.....8...4...7.........4.....35....41.....357.4....8...62..19......92....7. # s h2(3) s
.6...9.2...........3....658..46.5........39..6.7........5.741......2..758.6.....4 # s h2(3) s
.7...5.82593...7....21.....9..6.2.....189.2.7.....1.9.3................1....6..54 # s h2(2) s
.............9.58..8..52...2.....6..3.7......65....421..651...8...64..5394....... # s h2(2) s
.7..143..546.....9.......5..2.........9..1.781.7.634.....3.........5.....1.8...6. # s h2(2) s
.8....9.6.....235.9......1...637.5...1..4....7.........3...76......98......56.829 # s h2(1) s
....32..............76..914.96...8....5..8....3..4...5.5.2.....7.....56.9.4.1.... # s h2(1) s

#0211: Hidden Triple
5..62..37..489........5....93........2....6.57.......3.....9.........7..68.57...2 # h3(11) s
752.9.1....8...6..9.......5871..............2.3....78......8..6...17....1..2.63.. # s h3(12) s
..........6..87..15.1..67....3.......85.129........2.6......6....47..59.2....5.8. # s h3(10) s
............2.7..1.39.5...4.9.7....3.5768.9.......2...523..1........9.....4...5.. # s h3(9) s
267..845..84...9...5......71.......5..53.6......9.....8......9...6.4.3.....76.... # s h3(8) s
...7....4.8.4...79.....23....4...5..8...31....6.....8......7.52.1..9....94.8..... # s h3(7) s
..7.3.......1....9....562.8.....9.21.9.4.........18..581.56.....4....5..2.3.4.... # s h3(5) s
.1...395.....9.72....85.....263...4.4.......3.7.9.8.........6......8.5...42....17 # s h3(3) s
2.....4..5.......6..1.34.8....5...4...........6.79.....9.2..6....3..9..1....8..37 # s h3(2) s
...6.3..235......4..2.8.....85..76......584.....9........19...37.6.2..8.......1.. # s h3(2) s

#0212: Hidden Quadruple
9..1...8..7.9.3.1.8......64.8..2....5....1.7...1....42.4.716..............7.92... # ssts h4(11) s the zoo
.3.....1...8.9....4..6.8.......7694.......52....124...2.6...19....7......95...47. # ssts h4(11) s
6....7.95...6.....2....531.9268......842....................4.9.....3....59.68..7 # ssts h4(10) s
....8...4..85...1.....7.5...46.3.7..7.1...9.58.......6..42..19.6..913............ # ssts h4(4) s
.7...5.91..8.4..7.......5...1..726....4.....8.97.8........39...52..........4.1... # ssts h4(4) s
8..57.29.39..........2.......1...5.8...496......8.....2.9.....1..8....7.56.....82 # ssts h4(3) s
.6.......7.2..14....3.7.2.897.32....14..............9.........4....9.3.....28615. # ssts h4(3) s

#03xx: Fish
#0300: X-Wing
9..............7.37...962486...2.47.........5....4...642...86..5.71.......1.....2 # s bf2(9) s
9...627....5..3...........67...3.........9...8.2.45..9..35.1.28.4......5.1....... # s bf2(9) s
.....27...3.........8..7.9.........58......6..6.1.59.4........8.45.19.3...34..51. # s bf2(8) s
6...3...........7..3517.8....8.6....4.73..2....6.........4.5..1....9873........9. # s bf2(7) s
.7..2958.94..............6.4.16......239.....5....24......6814..........35..4...7 # s bf2(6) s
...9...5..5.26.91........7..9...16......42..1...3.....5.817..6.6.4..35....3...... # s bf2(5) s
.......2..9...2...75.......8..1..5.......9.6...94867...........38.6.7.59...53.81. # s bf2(5) s
.9...3746.4......18...6.9.....5......548.........391......2.3...8...7....65....7. # s bf2(4) s
........2..2.74....5.....79.379..........3..854.7......7..81....1.....63..5..24.. # s bf2(4) s
6.41....75...........4832.........3...6...87..8......12..8....4.6..213....7.3..1. # s bf2(3) s
..........2..91...4.3.....7546.2.9...978...523.......6..5....23.6..1........8.4.. # s bf2(3) s
5..3..........67...412........18.5.6....9.....9.7....4.39.1..524.....1..6...2..79 # s bf2(2) s
7643...8.......6......2...548.26.17.........6.1.....5.3.........9..58...8....3.4. # s bf2(2) s
..9.......28145....5.67........3...........685....23.93.78..2.6.8............1.4. # s bf2(2) s
8......1...5.2.8...714..6..5.....7...39864....6.1.....95....1..2.63............68 # s bf2(1) s
.........76...3..2..264...94.39...7......49.3..5....2..1.56....37..9..41.......6. # s bf2(1) s

#0301: Swordfish
1......345..3.2.78...8........6.5..3..5...4..3.....6.298.2.6.1.............78.9.. # s bf3(11) s
..5.7.2.........498....5.7.91...6..7.4.9.8..2..645..8..8..................1.43... # s bf3(9) s
3.15..............74...6.3..8.6.7..4...9.....27..5..8......126.........861..23.5. # s bf3(9) s
.31..6..56....7......59....8..1....27.......3.4...38..12763.........1.....84..3.. # s bf3(8) s
..........8..63..4..2.....8..5.......46..25.....9...3172...54.......7.93.932....5 # s bf3(7) s
..6..........756.....2.3591.5..149.38..9.2.....37......25..94..9...2..3.......... # s bf3(6) s
.......5..46.518.....9..4.6.3.8......2.3..6.9417..9.......68.142.......85.1...... # s bf3(6) s
6.913...........1...4...5.74..8...798.2.............6......3..82....19.3...4296.. # s bf3(5) s
16.54..7...8..1.3..3.8.....7...5..696..9.2.57.............3..4........16...1645.. # s bf3(2) s

#0302: Jellyfish
2.......3.8..3..5...34.21....12.54......9......93.86....25.69...9..2..7.4.......1 # bf4(9) s pure jellyfish collection
.............1.....123.456...........27...38..36.5.42...........682.715..74...83. # ssts bf4(17) s 4x4 pure jellyfish collection
.............1.....123.456...........23...78..47.6.12...........318.764..58...23. # ssts bf4(15) s 4x4 pure jellyfish collection
4..2.7.8...3..85.6.786...4.2.....61.....2.....17.....4.5...346.6.15..2...3.1.2..8 # ssts bf4(11) s pure jellyfish collection
.4..28.7187.6...2............48..26...1.4.9...86..24............6...9.4313.27..9. # ssts bf4(10) s pure jellyfish collection
7...2......1..9.6..8.4..2....6....5.9.......1.3....7....2..6.9..4.7..8......3...6 # ssts bf4(8) s pure jellyfish collection
.5.....7.2.......6...456.....7.3.4....65.12....9.7.1.....812...9.......5.1.....2. # ssts bf4(6) s pure jellyfish collection
6...7......1..5.3..2.4..6....3....1.9.......2.4....7....9..3.5..7.6..9......1...3 # ssts bf4(5) s pure jellyfish collection
...197....4.....7...9...3..8...3...27..9.2..43...6...1..2...4...1.....9....524... # ssts bf4(4) s pure jellyfish collection
2....358.....2...1...4.56.....9.4.68..5.1.9..61.8.2.....15.8...3...4.....263....4 # ssts bf4(2) s pure jellyfish collection

#0310: Finned X-Wing
1.........5.....61..8...2...7...9.......1.3..4...5...6....98.4...2..1.....36.279. # s fbf2(2) s
.8..49.6..7.......2.....5.......6....57.3...26..27........28.4939.1.4.....1...... # s fbf2(2) s
.9.5..3..562.18............189...6...7......1....834.....2....99.4..5........126. # s fbf2(1) s
....36.81.5....3.9..941...2..274..9.3.........1......6.4.........18...6....1.2... # s fbf2(1) s
2...8...9.......65......7...7..2.35......1..28.........8......15.1.7.2869.36..... # s fbf2(1) s
..3...7......91....6...3.597...5.3.........8.2..6.9..5..813.....2.4....6......23. # s fbf2(1) s
..2...3...3......767............61..........47..52..6..2.3.49...9...7.8...69.8.1. # s fbf2(1) s

#0311: Finned Swordfish
....3.....72.54..6....16.85.19.......23.895..8...6.7...91...8..4.6.....2.....5... # s fbf3(2) s
........3....6458.54...89...5..72.....16....2....5...9.9.1..2484..........8..5... # s fbf3(2) s
.45..6.8.1...4..6.......9..7.39.8.............8...15...7.6...21..8..4.......9.84. # s fbf3(2) s
...4....3....8....8.....9147.3.29..........2...6...34.6...5...14.....7..58.631... # s fbf3(1) s
....4...97...124.....9.....2.....3..........6.784....5329......8...291..4.6..38.. # s fbf3(1) s
..3..86..41..5.9.......6.1.84.3...9..2...543.5..1........2.....3...8.26......45.. # s fbf3(1) s
6.2..9.4........9..4.85.6.....3857..3.86.......6......5.19....2....1....7..2.34.. # ssts fbf3(4) s
.52..14...8........43.9.68...64..9.3.........8...6.......142.....5..782.......1.7 # ssts fbf3(2) s
6...219...12..8.............9..6413.24..................95.684.3...472....5.1...7 # ssts fbf3(2) s
19.......862....3......7..6.3......24....6.1.6..483......23..4......1258.....4... # ssts fbf3(1) s
3..........862..13.......45.......7.5.783....2.1.7..8..6...9......71.86......39.. # ssts fbf3(1) s

#0312: Finned Jellyfish
......8...1.8.5..3..73..6.1.5.621...........473.................8..5.91..62..7... # ssts fbf4(2) s
.4.2..7.3.826..........1....9.......4...27........3.61.....5.3..65.1.....3.....76 # ssts fbf4(1) s
..2.18..............4...97.658...........9..........51.354..1.82...83..64..9..... # ssts fbf4(1) s
..827463.2..8..1...............87.4..5.........64.2..............4...5786....9..4 # ssts fbf4(1) s
...68....12..59......1..5827...15.9...9.3.1463............6..2.........3.35...81. # ssts fbf4(1) s
.4372....7..4..........93....7.....25...71..8.3........1.....6.3569........3..42. # ssts fbf4(1) s
.....6....1..9..6....5.14.82..965.......4.71...42..............92.4..1..8......5. # ssts fbf4(1) s
...8.7.3..6...971.2.8........7..3.9.1...9..8..4...6..........71...........9.623.4 # ssts fbf4(1) s

#0320: Sashimi X-Wing
4..5.769.........2.68....3.65.2.4..9....3.4.....9........8..........3..73894..... # s sbf2(2) s
..729.81.............8..5.6..6...1..........97.5...2....965.7..5...7.39...1.84..2 # s sbf2(2) s
.............5483.3....826...5789..2.7.2..5..6.........56.1.....2.....547...4.... # s sbf2(1) s
......3..9.4..2.61....9.72..619..8.3...3.4.7...2.......97.1..4.5....8............ # s sbf2(1) s
5.....34.........132..715..97..456.3.35......6.............9...2...567..8....3462 # s sbf2(1) s
.94.3.5........81.....456..96.28.....2...4...................9.4867....37....81.. # s sbf2(1) s
.5..12.3....67..493.....1............82397...7.5............81..29......4...35.6. # s sbf2(1) s

#0321: Sashimi Swordfish
2.7.9....5..7....8.9...6...............6...938.9.5.764.....2......54......3..14.6 # s sbf3(2) s
94.....7.2..51...9..........2.1....3..........69.7..141..2.5.8...8....4.7...89.3. # s sbf3(2) s
7...3..26.....61.5...........4..97...3147............16........2..7.46....9.815.. # s sbf3(1) s
..1.4.96..9...643......7..8..5.132..........483........2.......478.......1.6...7. # s sbf3(1) s
.853..42....52.6.8.........31..9..........7....82.3.......7.5...7.1..84364....... # s sbf3(1) s
.......5229....1.61......8..62.49...7..2586......6.........653..5.3...78..4..7... # s sbf3(1) s
.....4...64.9.27....5....9.......51..5...8.3.7.21.........9.1.....2....3.9..63.82 # s sbf3(1) s
9...16....687..4.......2....8..3...75...........4.9.1...462.......1...4...5.7.261 # ssts sbf3(2) s
38.......9...31....6...5..42.....17..9........3758...........61....4.35.6...7.9.. # ssts sbf3(2) s
...2.......7..3..42...51.985...2978.....8.........7.2368....539........6.1....... # ssts sbf3(2) s

#0322: Sashimi Jellyfish
...4.6...2.......41......36.463..5....184......7.2..1...5.3..41............5.732. # ssts sbf4(4) s
...2.7....18.....54.........8...41.27......5....53........6..7..459...2..7..12.9. # ssts sbf4(3) s
3....57.......1.42.9.72.....3...4....25......9.456........531...4.27.39..7....... # ssts sbf4(3) s
.....7.6..3.......7.92..........124...8.....3...62.51...51..4...479...2...24.61.. # ssts sbf4(2) s
...2.5....254.....6.....1.....1...7.5.....9....38....5.......1.15....79..82.7...3 # ssts sbf4(2) s
.....34..6...958..38...6..989...76.5....5...7...............2..57..81.3....6....4 # ssts sbf4(1) s
7.......5..17.......3.6..2..9....2..5....3..9....7..6.6....95...2..47.9..1..8.... # ssts sbf4(1) s
.9...8..13...1.7.8..2..7.697.6....839..........3.2..................5.2..8..3.615 # ssts sbf4(1) s
5....271..1...4...8.......................6.4.6..21.854......78...476...9...5...2 # s sbf4(1) x
.2.56.7....1.372....6.....19.8........2.785......5.9.......4..916.2....4....86... # x sbf4(4) x

#0330: Franken X-Wing

#0331: Franken Swordfish

#0332: Franken Jellyfish
..67...91..9....623............3...4..72...1.4....1....31..8.75...9......65....3. # x ff4(8) x
.4....27..86......1............5....5..21.93...1.9..567...3549.9...........6....3 # x ff4(6) x
.....29...3......49..13...7....84..5..83...6....71.38.5............41...3495..6.. # x ff4(2) x
..9..64...638..........981.12.....4........513.8...7...8.2..9.77...9......2..1... # x ff4(2) x

#0340: Finned Franken X-Wing

#0341: Finned Franken Swordfish
.4...93......3..........8...9...5.1.8....47...5..7......23.749.7..4....858....... # s fff3(1) s
..5....8.7....62..92....34..6....5...8.......5..81........71..4.7..5.91...946.8.. # ssts fff3(1) s
7.8.24....4..8.......1.......5..78.446.9............6....8....9....16.3.....5.62. # ssts fff3(1) s
8.9..........3.........6..9.8...91.3.3.7...58.1.6.....4.1............9....5.2138. # ssts fff3(1) s
..273..181862.......7...........8..........433.4.9.2...2.8....585....3.......3... # ssts fff3(1) s
.2....635.....37....4.5.....4.28..6.1.9...........43......37.9...59.....9....64.. # x fff3(3) x
92..8.5.73..9.7..6......8....4......6..7..3.525...........19.6.5..2.....8.96....2 # x fff3(3) x
....52..496.14..2.3..........34.58.......1..68...6.........753.1.......7.9....4.. # x fff3(3) x
.64..............2.93.8..4.......7.9..6....3..1...2.86..7..89.5..82.1.......49... # x fff3(2) x
.....3..97.9.2.14.83..146.......18............1..6.47..63..5.1........2..7..4.5.. # x fff3(2) x

#0342: Finned Franken Jellyfish
....421362....1...63...7.......1.3....9..4..8.4..3...7.......2.712......4...7.6.. # ssts fff4(1) s
..3.641.........69.9....53...7...84515.4........3............1...18.54..6..21...8 # s fff4(1) x
....7.....68...4.......26815...37..99.....3....18.....1......5......6....7.1..8.6 # ssts fff4(1) ssts
..7...8...2...3.....81.......64.....5.....6.1....76..34...52.1.9...4...6......3.2 # ssts fff4(1) x
.1..39..5..2....6..972.53.........1....72....15..8..24.....2.3..234..19.7........ # ssts fff4(1) x
..5.4..32.6...94............1..2...8..4.5.6.........733..1.7....49..2.6..2......5 # ssts fff4(1) x
.6.....28....671....78.....1.65...4..8...45...4.3.........2.9..3...754....1...... # x fff4(2) ssts
....48.......1...86....75....2..186.7.....4.193......21.....34..5.....1...4.....6 # x fff4(1) s
......756...45...11...8............4.5..1627..82..4..........1...48...953.6...... # x fff4(1) s
..8.....4.7..9.1....431..5.................369..83..7....1.56........79228.9....5 # x fff4(1) s
...........89....1..6..3..4.....9..53..65.....7.13...94......3.59.3164........192 # x fff4(3) x
# endo fins
.4.....5.7.5.6.8...............3869.8..2...1...79....3...........8.71.3.....8.967 # x fff4(2) s
............4.1.5..3....6.97...9.5.68.41......9......89....2.....65......7.6.8.4. # x fff4(2) s
49.28...6..7.3....8..6.4.2........4..4....893........2.5..63...72.4....8...82.9.7 # x fff4(1) s
.5.....8.......7...4..57.314.3..2..89.....4....58......2...4..7..8739..2...2..3.. # x fff4(1) s
......8.1162.........4........67.....2..34....7821..4.2.......5.517.9..88.6....9. # x fff4(1) s
49..7.61..5...649..6..347......45.....92............6.67............3.5..13...9.4 # x fff4(1) s
.9.56..8...3........5..12.66............175.....8....7..7....34.3.1..6...1.43..9. # x fff4(3) x
..6...21....2....5.3..84.7.7........1....6.3...98..5.....7......2...3.....152.6.. # x fff4(3) x
# cannibalism
#endo fins + cannibalism

#0350: Mutant X-Wing

#0351: Mutant Swordfish

#0352: Mutant Jellyfish

#0360: Finned Mutant X-Wing

#0361: Finned Mutant Swordfish

#0362: Finned Mutant Jellyfish
9......8387.2....1......6.......7..9.8.3......358.6...........2......71.5419..... # x fmf4(1) s
.7...95..1....5....8..2.16.....1........97.3.6..2...188.7.6..5...9...3.........4. # x fmf4(1) ssts
..2.6.4.96...4....9..3...........34...6...2...2.4.79.53.725.........97....81.4.3. # ssts fmf4(1) x
5.....6788.............3..1..2.7....78..2.316.61..........6.7....3..8...6..1...9. # ssts fmf4(1) x
3..84.2.9....1.........7.6............642.1....8..5.7.2..1.3..7.7..6.9.3....7462. # x fmf4(2) x
#endo fins
.2.......8.4.5.73.7.......45...41..........2.371.28.9......73.......2..9.9.3...1. # x fmf4(3) x
6..97.........4.1............2763.5.9.5...6........1...136..4..2.9.4...8.4.82.... # x fmf4(2) x
....8..1..4516..372....45..3.......1.84..12...2.8.....8..4....9.72...3....6...... # x fmf4(2) x
..23..6.593.......4...76...1..8....2.............671.3..47.138.....2...1.6...84.. # x fmf4(2) x
....27.3...164.....9........3.9...28..8...6....5..13.......8.5......39622.......1 # x fmf4(1) x
......24.......1.....327.8.7.68.......34.96...1........97..1.3512.73..6.....98... # x fmf4(1) x
